date,s_af,r_cfs,i_cfs
2016-12-13,324910,NA,776
2016-12-14,325993,NA,758
2016-12-15,327498,NA,972
2016-12-16,333580,NA,3275
2016-12-17,335487,NA,1167
2016-12-18,337318,NA,1134
2016-12-19,338892,NA,1005
2016-12-20,340352,NA,1040
2016-12-21,342125,NA,1315
2016-12-22,345336,NA,1856
2016-12-23,347945,NA,1558
2016-12-24,350525,NA,1552
2016-12-25,353270,NA,1628
2016-12-26,355746,NA,1497
2016-12-27,359377,NA,2076
2016-12-28,361677,NA,1407
2016-12-29,363350,NA,1085
2016-12-30,365184,NA,1171
2016-12-31,367309,NA,1315
2017-01-01,369962,NA,1596
2017-01-02,372706,NA,1631
2017-01-03,375264,NA,1587
2017-01-04,378156,NA,2034
2017-01-05,382006,NA,5618
2017-01-06,378851,NA,4180
2017-01-07,374248,NA,4324
2017-01-08,386211,NA,14773
2017-01-09,406543,NA,19499
2017-01-10,407651,NA,9961
2017-01-11,423507,NA,17707
2017-01-12,429947,NA,12776
2017-01-13,429816,NA,8900
2017-01-14,424119,NA,6629
2017-01-15,416138,NA,5567
2017-01-16,405820,NA,4765
2017-01-17,392654,NA,3586
2017-01-18,379914,NA,3749
2017-01-19,371657,NA,5839
2017-01-20,367148,NA,7555
2017-01-21,364943,NA,8531
2017-01-22,361637,NA,7898
2017-01-23,374045,NA,14422
2017-01-24,373923,NA,7426
2017-01-25,370204,NA,5686
2017-01-26,365184,NA,5165
2017-01-27,359496,NA,4880
2017-01-28,353310,NA,5173
2017-01-29,346582,NA,4977
2017-01-30,344213,NA,4426
2017-01-31,343208,NA,4254
2017-02-01,342395,NA,4348
2017-02-02,341197,NA,4125
2017-02-03,343246,NA,5725
2017-02-04,348801,NA,7461
2017-02-05,352917,NA,6716
2017-02-06,354095,NA,7168
2017-02-07,375223,NA,19051
2017-02-08,396708,NA,18963
2017-02-09,411881,NA,16349
2017-02-10,426611,NA,16150
2017-02-11,442448,NA,17404
2017-02-12,443699,NA,11066
2017-02-13,440573,NA,9153
2017-02-14,434980,NA,7676
2017-02-15,429288,NA,7317
2017-02-16,424600,NA,7368
